Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19991029,FCE,1,-245.475,-1.17131,-0.98390
19991111,NQ,1,-145.105,-1.45355,-1.16284
19991129,JY,1,-0.026,-1.04113,-1.29100
19991213,PA2,2,-14.956,-0.37515,-1.20048
19991216,HG2,2,-2.744,-0.22286,-0.55270
19991221,GO,2,-14.347,-0.45706,-1.15180
19991221,HO2,1,-0.028,-0.30199,-0.47111
19991227,ES,1,-68.767,-0.98382,-1.37735
19991228,CD,3,-0.004,-0.42380,-0.50856
19991229,CL2,1,-0.833,-0.18620,-0.33516
20000105,LB,1,-25.989,-1.97503,-1.14551
20000118,HO2,1,0.122,1.31553,2.05222
20000118,GO,2,-2.210,-0.07175,-0.18080
20000118,CL2,1,5.109,1.13431,2.04176
20000118,NK,1,340.000,0.84750,0.67800
20000120,NQ,1,-254.380,-2.54630,-2.03704
20000124,PA2,1,219.851,5.49503,8.79204
20000204,FCE,1,-160.980,-0.76895,-0.64592
20000204,NQ,1,323.835,3.23585,2.58868
20000204,LB,1,-22.702,-1.72567,-1.00089
20000207,HO2,1,0.035,0.37392,0.58331
20000223,PA2,1,0.000,-0.00125,-0.00200
20000223,CT2,2,-0.335,-0.10781,-0.13800
20000225,BAX,4,-0.214,-1.73312,-0.86240
20000301,NK,1,-965.000,-2.41500,-1.93200
20000302,GO,2,-0.148,-0.00627,-0.01580
20000303,FCE,1,-267.105,-1.27431,-1.07042
20000320,S2,2,1.528,0.02099,0.05710
20000324,NQ,1,-369.745,-3.69995,-2.95996
20000328,NG2,1,1.034,4.91905,4.13200
20000329,NK,1,-590.800,-1.47950,-1.18360
20000405,BAX,5,-0.170,-1.38585,-0.86200
20000410,LSS,12,-0.100,-0.37286,-0.62640
20000411,TY2,2,-1.979,-1.80327,-1.58688
20000420,HO2,1,0.097,1.03875,1.62044
20000515,GO,2,18.265,0.57825,1.45720
20000515,SB2,5,1.388,1.14774,3.09890
20000517,FCE,1,-446.175,-2.12702,-1.78670
20000519,CL2,1,1.472,0.32604,0.58688
20000522,LSS,12,1.036,3.68500,6.19080
20000602,FCE,1,-77.230,-0.37014,-0.31092
20000602,LLG,1,-1.929,-0.64477,-0.77372
20000606,NG2,1,-0.405,-1.92957,-1.62084
20000616,NG2,1,-0.309,-1.47248,-1.23688
20000623,NG2,1,-0.198,-0.94500,-0.79380
20000630,SB2,4,-0.680,-0.56769,-1.22620
20000705,TY2,2,1.724,1.56264,1.37512
20000713,SB2,4,0.952,0.78635,1.69852
20000721,PA2,1,52.343,1.30731,2.09170
20000724,HG2,3,1.704,0.13581,0.50520
20000728,TU2,3,0.507,4.48133,1.20996
20000804,BAX,6,0.119,0.93891,0.70080
20000804,ED,6,0.241,2.98875,1.43460
20000804,SB2,4,-0.624,-0.52148,-1.12639
20000810,GO,2,60.605,1.92238,4.84440
20000811,HO2,1,0.122,1.31634,2.05350
20000815,CL2,1,2.067,0.45822,0.82480
20000822,NG2,1,0.146,0.69205,0.58132
20000901,LES,6,0.076,0.37000,0.44400
20000905,NQ,1,-465.660,-4.65910,-3.72728
20001013,GO,1,-23.000,-0.73175,-0.92200
20001013,HO2,1,-0.078,-0.84431,-1.31712
20001013,CL2,1,-3.084,-0.68642,-1.23556
20001016,SB2,3,-0.496,-0.41495,-0.67222
20001018,RR2,4,-30.940,-0.62380,-0.99808
20001101,PA2,1,108.155,2.70263,4.32420
20001115,NG2,1,-0.385,-1.83724,-1.54328
20001116,CL2,1,-2.348,-0.52280,-0.94104
20001116,HO2,1,-0.056,-0.60874,-0.94964
20001117,LLG,2,0.889,0.29470,0.70728
20001122,NG2,1,2.294,10.92086,9.17352
20001124,TY2,2,2.907,2.63835,2.32175
20001128,CT2,2,-3.142,-0.98491,-1.26068
20001130,GBS,10,0.842,2.14513,3.34640
20001130,TU2,4,1.393,12.36285,4.45062
20001130,ED,8,1.041,12.99125,8.31440
20001130,LEU,8,0.553,2.75350,4.40560
20001201,BAX,8,0.662,5.30386,5.27840
20001201,LES,7,0.300,1.49000,2.08600
20001204,S2,2,-19.530,-0.28868,-0.78520
20001218,PA2,1,93.961,2.34778,3.75644
20010102,NG2,1,0.000,-0.00238,-0.00200
20010108,SF,1,-0.021,-1.33844,-1.07075
20010108,EC,1,-0.038,-2.09111,-1.88200
20010109,TY2,2,-1.300,-1.18665,-1.04425
20010110,NG2,1,-0.950,-4.52619,-3.80200
