Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19991102,W2,-3,5.787,-0.12266,-0.35325
19991119,EC,-1,0.026,-1.41978,-1.27780
19991119,SF,-1,0.018,-1.14250,-0.91400
19991130,TU2,-3,-0.273,2.40855,0.65031
19991201,CT2,-2,0.810,-0.25619,-0.32792
19991210,S2,-2,14.053,-0.20813,-0.56610
19991215,ED,-7,-0.088,1.07375,0.60130
19991216,RR2,-4,24.920,-0.50340,-0.80544
19991216,SB2,-4,-0.250,0.20329,0.43910
19991221,TY2,-2,-0.436,0.39176,0.34475
20000104,GBS,-6,0.392,-1.01897,-0.95376
20000105,NG2,-1,0.356,-1.69867,-1.42688
20000105,LSS,-10,0.169,-0.61643,-0.86300
20000124,SF,-1,0.001,-0.09600,-0.07680
20000125,EC,-1,-0.005,0.27761,0.24985
20000128,LEU,-7,0.105,-0.53400,-0.74760
20000131,AD,-2,-0.049,3.25033,3.90040
20000204,BP,-1,0.009,-0.49719,-0.23865
20000207,TU2,-4,0.395,-3.53527,-1.27270
20000209,JY,-1,0.014,-0.57508,-0.71310
20000215,SB2,-5,0.104,-0.09040,-0.24408
20000224,RR2,-4,27.110,-0.54720,-0.87552
20000228,SI2,-2,11.386,-0.05105,-0.45944
20000301,SF,-1,0.016,-0.99050,-0.79240
20000301,EC,-1,-0.043,2.40550,2.16495
20000303,LES,-4,-0.177,0.87650,0.70120
20000313,LEU,-7,0.147,-0.74500,-1.04300
20000328,ED,-8,0.153,-1.93875,-1.24080
20000407,HG2,-3,2.035,-0.16573,-0.61650
20000412,RR2,-4,-16.300,0.32100,0.51360
20000412,LB,-1,-27.900,2.11310,1.22560
20000417,CD,-3,-0.005,0.53190,0.63828
20000424,SF,-1,0.001,-0.07844,-0.06275
20000425,SI2,-2,-11.777,0.05190,0.46708
20000426,LEU,-7,-0.225,1.11525,1.56135
20000427,GC2,-2,4.845,-0.07648,-0.39160
20000427,W2,-4,9.760,-0.20542,-0.78880
20000428,ED,-7,-0.118,1.44875,0.81130
20000501,BP,-1,-0.045,2.33052,1.11865
20000510,JY,-1,0.031,-1.26448,-1.56795
