Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19891004,CD,68,-0.005,-0.48400,-0.32912
19891108,AD,35,-0.004,-0.30187,-0.15848
19891127,HO2,46,-0.012,-0.13011,-0.23343
19891129,SF,25,-0.013,-0.78812,-0.39406
19891205,FCE,90,-67.185,-0.32231,-0.60916
19891207,CL2,63,0.780,0.17222,0.48825
19891208,LB,131,-2.128,-0.16488,-0.31319
19891214,W2,96,-4.977,-0.10578,-0.24372
19891221,BP,20,0.076,3.93333,0.94400
19891228,GO,54,3.022,0.09437,0.16051
19900108,LB,140,5.612,0.42229,0.85725
19900109,SF,25,0.005,0.30412,0.15206
19900130,CL2,47,-0.989,-0.22093,-0.46727
19900213,LB,119,-0.928,-0.07385,-0.12743
19900309,SB2,57,-0.370,-0.31025,-0.23874
19900316,HG2,29,-7.482,-0.60496,-0.54386
19900402,HG2,28,-6.968,-0.56355,-0.48916
19900411,CT2,37,7.270,2.26887,1.34317
19900423,FCE,81,-67.290,-0.32281,-0.54910
19900426,SF,25,0.015,0.93500,0.46750
19900426,S2,62,14.065,0.20537,0.43292
19900510,HG2,27,-8.312,-0.67190,-0.56238
19900522,SP,17,-5.762,-0.08259,-0.24571
19900524,BP,28,0.107,5.57917,1.87460
19900529,AD,43,0.035,2.32847,1.50186
19900615,ED,87,0.210,2.60000,0.45240
19900628,CD,62,0.029,2.87200,1.78064
19900709,HG2,27,8.509,0.68464,0.57304
19900711,JY,32,-0.013,-0.51427,-0.51016
19900713,SF,26,0.058,3.64638,1.89612
19900724,BP,27,0.108,5.62104,1.82122
19900727,GO,66,43.087,1.36627,2.84047
19900731,TY2,44,-1.082,-0.98778,-0.47809
19900731,BAX,63,0.263,2.09807,0.41107
19900801,JY,32,-0.018,-0.72742,-0.72160
19900807,HO2,33,-0.022,-0.23711,-0.30516
19900815,AD,43,0.008,0.53000,0.34185
19900820,HO2,28,0.098,1.05480,1.15184
19900820,CL2,28,0.140,0.03000,0.03780
19900820,GO,46,-12.000,-0.38254,-0.55430
19900828,JY,32,0.087,3.48992,3.46200
19900906,BAX,70,0.013,0.08842,0.01925
19900918,CL2,22,4.057,0.90038,0.89137
19900918,AD,36,-0.014,-0.94333,-0.50940
19900924,GO,28,-23.590,-0.75048,-0.66192
19900924,HO2,18,-0.070,-0.75310,-0.52868
19901008,BP,20,-0.035,-1.83323,-0.43998
19901010,GO,22,-31.975,-1.01667,-0.70455
19901010,CL2,17,-5.260,-1.17000,-0.89505
19901010,HO2,15,-0.138,-1.48744,-0.87015
19901025,ED,87,-0.038,-0.50500,-0.08787
19901106,SF,18,-0.022,-1.37125,-0.49365
19901113,TU2,81,0.810,7.17875,1.30833
19901122,LLG,25,1.370,0.45500,0.34125
19901123,TY2,42,0.456,0.40980,0.18933
19901206,ED,85,0.090,1.09875,0.18679
19901211,CT2,39,10.041,3.13469,1.95605
19910104,CD,57,-0.007,-0.74500,-0.42465
19910107,BAX,98,1.350,10.83601,3.30260
19910115,GO,13,-43.177,-1.37230,-0.56196
19910118,LLG,26,0.460,0.15167,0.11830
19910125,SP,14,36.641,0.52316,1.28174
19910125,ED,83,0.150,1.85000,0.30710
19910201,BP,18,-0.008,-0.42062,-0.09085
19910204,TY2,43,-0.727,-0.66534,-0.31471
19910206,SF,18,-0.019,-1.18006,-0.42482
19910219,NK,7,-830.000,-2.07750,-0.29085
19910221,CD,69,-0.006,-0.63500,-0.43815
19910315,ED,84,-0.304,-3.82125,-0.64197
19910401,RR2,113,-10.955,-0.22410,-0.25323
19910403,ED,78,0.230,2.85250,0.44499
19910403,LB,52,-5.967,-0.45611,-0.34391
