Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19891208,JY,-27,0.004,-0.17286,-0.14469
19891213,HG2,-25,4.932,-0.39940,-0.30953
19891228,S2,-48,-6.405,0.09272,0.15132
19900110,LLG,-34,-8.758,2.91767,2.97602
19900111,CT2,-34,2.095,-0.65766,-0.35777
19900122,HG2,-26,4.277,-0.34653,-0.27931
19900123,SP,-17,7.066,-0.10123,-0.30115
19900123,JY,-30,0.015,-0.58964,-0.54836
19900129,BAX,-143,-0.926,7.42685,3.30294
19900201,W2,-95,12.207,-0.25641,-0.58461
19900207,TY2,-47,1.657,-1.51094,-0.78116
19900221,TY2,-45,0.671,-0.61491,-0.30438
19900221,ED,-72,-0.017,0.19250,0.02772
19900223,PA2,-103,-14.374,0.35811,1.47542
19900223,JY,-33,-0.041,1.63210,1.66963
19900227,SI2,-44,-1.159,0.00471,0.02330
19900227,BAX,-103,-1.565,12.56511,4.02498
19900327,GC2,-36,-15.423,0.24020,0.55343
19900418,CL2,-39,1.459,-0.32533,-0.57096
19900418,LLG,-26,-0.272,0.08900,0.06942
19900418,TY2,-45,-0.275,0.24502,0.12129
19900419,BAX,-70,0.293,-2.37219,-0.51642
19900424,ED,-86,0.003,-0.06125,-0.01053
19900426,SI2,-49,20.125,-0.08989,-0.49551
19900430,SP,-17,13.451,-0.19244,-0.57252
19900501,RR2,-97,-39.600,0.78700,0.76339
19900524,CL2,-37,-0.978,0.21629,0.36012
19900525,HO2,-29,0.004,-0.04023,-0.04551
19900604,SB2,-55,-0.144,0.11576,0.08595
19900614,PA2,-117,3.638,-0.09220,-0.43150
19900614,SI2,-55,4.847,-0.02199,-0.13604
19900710,SB2,-52,-0.836,0.68970,0.48417
19900720,RR2,-89,-55.480,1.10460,0.98309
19900723,S2,-38,27.887,-0.41158,-0.53176
19900730,W2,-80,-68.210,1.41896,2.72440
19900731,FCE,-76,-311.000,1.47857,2.35980
19900809,LB,-82,6.363,-0.48616,-0.57804
19900824,SP,-16,10.630,-0.15214,-0.42600
19900828,PA2,-116,-9.376,0.23316,1.08187
19900830,SI2,-48,-73.728,0.32724,1.76707
19900921,LB,-84,-2.769,0.20661,0.25165
19900925,FCE,-54,104.000,-0.49762,-0.56430
19900925,SP,-15,9.834,-0.14077,-0.36952
19901011,SP,-14,12.609,-0.18041,-0.44202
19901012,PA2,-104,0.350,-0.01000,-0.04160
19901016,SB2,-50,0.961,-0.80089,-0.54060
19901029,S2,-38,-12.788,0.18658,0.24106
19901114,LB,-81,-16.314,1.23417,1.44953
19901130,HG2,-28,6.349,-0.51359,-0.44580
19901210,NG2,-43,-0.978,4.65500,4.20346
19901214,PA2,-99,0.166,-0.00541,-0.02143
19901214,AD,-34,0.011,-0.73040,-0.37250
19901221,FCE,-48,-12.585,0.05755,0.05801
19901224,S2,-43,8.377,-0.12467,-0.18227
19910103,SB2,-64,-0.305,0.24958,0.21564
19910104,HO2,-11,0.178,-1.91821,-0.82291
19910117,HG2,-31,1.406,-0.11496,-0.11048
19910118,HO2,-9,0.098,-1.05935,-0.37183
19910118,CL2,-10,1.510,-0.33667,-0.15150
19910124,SI2,-44,-9.704,0.04268,0.21129
19910131,GC2,-30,-7.000,0.10859,0.20850
19910225,PA2,-96,6.866,-0.17289,-0.66389
19910228,SF,-19,-0.048,3.02450,1.14931
19910312,JY,-20,-0.002,0.06573,0.04075
19910326,BP,-19,0.044,-2.27625,-0.51899
19910326,S2,-47,23.832,-0.35195,-0.56241
19910422,BP,-17,0.049,-2.56844,-0.52396
19910422,SF,-18,-0.017,1.05375,0.37935
19910422,SB2,-83,0.403,-0.33763,-0.37831
19910509,S2,-50,-47.885,0.70272,1.19463
19910520,LLG,-30,0.157,-0.05417,-0.04875
19910531,HG2,-44,5.752,-0.46544,-0.63487
19910607,TY2,-49,0.590,-0.54062,-0.29140
19910610,BP,-16,0.009,-0.46771,-0.08980
19910611,JY,-22,0.020,-0.79585,-0.54277
19910620,NK,-13,-732.000,1.82750,0.47515
19910705,W2,-87,1.750,-0.03854,-0.08048
